run_1,run_2,run_3,run_4,run_5,run_6,run_7,run_8,run_9,run_10
4800.97917204158,5004.052785800437,5022.154787972962,3670.236068854268,1505.0478541509337,5512.211171493711,4162.698681712426,3374.0003337280555,1811.2894618629985,2099.7540980466792
4800.97917204158,5004.052785800437,4835.64091558451,3670.236068854268,1505.0478541509337,5219.604288462881,3750.7295215049717,3321.54108058993,1811.2894618629985,2099.7540980466792
4090.516274427,5004.052785800437,4835.64091558451,3670.236068854268,1505.0478541509337,5219.604288462881,3750.7295215049717,3321.54108058993,1811.2894618629985,2099.7540980466792
3060.8244992291643,5004.052785800437,4835.64091558451,3670.236068854268,1505.0478541509337,3996.8310634626114,3750.7295215049717,3321.54108058993,1811.2894618629985,2099.7540980466792
3060.8244992291643,5004.052785800437,4835.64091558451,3670.236068854268,1289.6411947937283,3996.8310634626114,3750.7295215049717,2525.6936639842843,1811.2894618629985,2099.7540980466792
3060.8244992291643,4635.464171829665,3622.820400262606,3670.236068854268,1289.6411947937283,3996.8310634626114,2099.4826306224168,2525.6936639842843,1811.2894618629985,2099.7540980466792
3060.8244992291643,2150.4781229431624,3622.820400262606,3670.236068854268,1289.6411947937283,3996.8310634626114,2099.4826306224168,2525.6936639842843,1811.2894618629985,2099.7540980466792
3060.8244992291643,2150.4781229431624,2814.7116261322244,3670.236068854268,1289.6411947937283,3996.8310634626114,2099.4826306224168,2525.6936639842843,1811.2894618629985,2062.7165841326405
3060.8244992291643,2150.4781229431624,2394.8651758279407,3670.236068854268,1289.6411947937283,3996.8310634626114,2099.4826306224168,2525.6936639842843,1811.2894618629985,2062.7165841326405
3060.8244992291643,2150.4781229431624,2394.8651758279407,3670.236068854268,1289.6411947937283,3473.0094824946827,2099.4826306224168,2525.6936639842843,1811.2894618629985,1613.3750854140972
3060.8244992291643,2150.4781229431624,2394.8651758279407,2535.405571358296,1289.6411947937283,3473.0094824946827,1793.4165134051755,2326.035220776346,1811.2894618629985,1613.3750854140972
